Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","7021","Annual value","LCU","10231.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","LCU","9927.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2022","2022","7021","Annual value","LCU","11754.5","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2023","2023","7021","Annual value","LCU","12490.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01640","Cocoa beans","2020","2020","7021","Annual value","LCU","40503.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01640","Cocoa beans","2021","2021","7021","Annual value","LCU","41870.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01640","Cocoa beans","2022","2022","7021","Annual value","LCU","41204.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01640","Cocoa beans","2023","2023","7021","Annual value","LCU","41137.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01460","Coconuts, in shell","2020","2020","7021","Annual value","LCU","2760.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01460","Coconuts, in shell","2021","2021","7021","Annual value","LCU","2901.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01460","Coconuts, in shell","2022","2022","7021","Annual value","LCU","3722.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01460","Coconuts, in shell","2023","2023","7021","Annual value","LCU","3641.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01610","Coffee, green","2020","2020","7021","Annual value","LCU","5385.3","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01610","Coffee, green","2021","2021","7021","Annual value","LCU","5501.7","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01610","Coffee, green","2022","2022","7021","Annual value","LCU","6375","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01610","Coffee, green","2023","2023","7021","Annual value","LCU","6726.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01313.02","Cooking bananas","2020","2020","7021","Annual value","LCU","3391","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01232","Cucumbers and gherkins","2020","2020","7021","Annual value","LCU","6631.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01232","Cucumbers and gherkins","2021","2021","7021","Annual value","LCU","7233.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01232","Cucumbers and gherkins","2022","2022","7021","Annual value","LCU","7655.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01232","Cucumbers and gherkins","2023","2023","7021","Annual value","LCU","8574.4","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01314","Dates","2020","2020","7021","Annual value","LCU","55268.2","A","Official figure"
